1,1,199.99,2012-03-03 10:35:00,5
2,1,39.99,2018-02-15 14:32:32,5
3,1,45.99,2025-03-09 08:02:10,5
4,5,529.17,2025-04-05 11:00:00,1
5,12,0.99,2025-03-04 09:12:00,2
6,17,35.76,2024-12-08 00:00:01,3
7,18,48.80,2021-07-11 14:32:32,4
8,19,12.82,2024-07-28 03:06:14,5
9,20,25.95,2024-08-01 12:05:46,8
10,20,972.99,2024-08-19 22:00:00,8
11,16,10.51,2024-08-18 16:00:00,8
12,17,4.99,2025-03-31 17:23:00,3
13,18,62.43,2025-03-27 15:10:05,4
14,19,249.99,2025-03-28 13:37:45,5
15,20,399.99,2025-04-01 06:05:04,8
16,6,34.99,2025-01-22 06:59:43,9
17,7,29.98,2025-04-01 16:23:51,10
18,8,44.98,2025-03-12 21:43:02,11
19,9,72.96,2025-04-06 20:52:35,12
20,14,42.98,2025-03-02 17:50:13,6
21,1,42.98,2025-04-06 09:31:52,5
22,1,17.98,2025-03-13 01:57:10,5
23,1,72.96,2025-04-04 12:52:42,5
24,5,37.97,2025-04-03 05:21:03,1
25,12,34.99,2025-01-10 00:47:45,2
26,17,72.96,2025-02-27 11:55:43,3
27,18,17.98,2025-03-27 14:48:46,4
28,19,72.96,2025-03-09 22:08:51,5
29,20,29.98,2025-04-25 22:34:25,8
30,20,42.98,2025-04-16 18:29:50,8
31,16,72.96,2025-03-10 15:54:59,8
32,17,7.99,2025-02-19 07:51:15,3
33,18,72.96,2025-03-23 14:10:15,4
34,19,72.96,2025-01-20 09:53:26,5
35,20,19.99,2025-03-27 18:12:01,8
36,6,72.96,2025-03-15 14:07:03,9
37,7,44.98,2025-02-07 19:34:37,10
38,8,52.97,2025-03-14 04:21:15,11
39,9,7.99,2025-01-20 03:05:56,12
40,14,52.97,2025-01-30 00:23:11,6
41,6,9.99,2025-03-13 08:21:33,9
42,7,7.99,2025-04-11 11:08:30,10
43,8,44.98,2025-04-26 10:01:13,11
44,9,7.99,2025-04-26 19:52:27,12
45,14,17.98,2025-04-26 17:01:27,6
46,18,14.99,2024-04-26 17:01:27,11
47,19,14.99,2024-04-26 17:01:27,12
48,20,14.99,2024-04-26 17:01:27,6
49,1,523.29,2025-04-01 07:30:00,5
50,17,480.27,2025-04-01 07:30:00,3
51,18,560.21,2025-04-01 07:30:00,4
52,19,640.15,2025-04-01 07:30:00,5
53,20,520.99,2025-04-01 07:30:00,8
54,6,394.99,2025-04-01 07:30:00,9
55,7,294.99,2025-04-01 07:30:00,10
56,8,479.49,2025-04-01 07:30:00,11
57,9,399.99,2025-04-01 07:30:00,12
58,14,499.99,2025-04-01 07:30:00,6
59,1,499.99,2025-04-01 07:30:00,5
60,17,372.99,2025-04-01 07:30:00,3